PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,calib_fator,velocidade_calibrada,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20944,55266,FABULA BARRA SALVADOR CM,0.024272,15,0.763,knn_enriquecido,1.3226336724858752,0.032102964498577156,16,30,0.9630889349573147,1
5.20944,55266,FABULA HARMONIA SP CM,0.026804,15,0.763,knn_enriquecido,1.6413964500297988,0.04399599044659873,6,20,0.8799198089319746,1
5.20944,55266,FABULA PLAZA SHOP CM,0.020388,15,0.763,knn_enriquecido,1.5184927888116602,0.030959030978292126,4,18,0.5572625576092582,1
5.20944,55266,FABULA SHOP VITORIA CM,0.014893,15,0.763,knn_enriquecido,1.5665883579945814,0.0233312004156133,11,25,0.5832800103903325,1
5.20944,55266,FABULA CENTRO CM,0.014868,15,0.763,knn_enriquecido,1.5407029380016526,0.02290717128220857,4,18,0.41232908307975424,1
5.20948,55266,FABULA SHOP LEBLON CM,0.061489,15,0.66,knn_enriquecido,1.6757020079967777,0.10303724076971386,4,18,1.8546703338548496,2
5.20948,55266,FABULA RDB CM,0.056634,15,0.66,knn_enriquecido,1.4613373470269417,0.08276137931152382,4,18,1.4897048276074287,1
5.20948,55266,FABULA BARRA SHOPPING,0.055283,15,0.66,knn_enriquecido,1.2565817595527058,0.06946760941335223,4,18,1.25041696944034,1
5.20948,55266,FABULA ELDORADO CM,0.040453,15,0.66,knn_enriquecido,1.5793903919633479,0.06389107952609331,6,20,1.2778215905218662,1
5.20948,55266,FABULA RIO SUL CM,0.055016,15,0.66,knn_enriquecido,1.6518770394243272,0.0908796672009688,4,18,1.6358340096174384,2
5.20948,55266,FABULA BARRA SALVADOR CM,0.042071,15,0.66,knn_enriquecido,1.3226336724858752,0.05564452123515325,16,30,1.6693356370545975,2
5.20948,55266,FABULA HARMONIA SP CM,0.033981,15,0.66,knn_enriquecido,1.6413964500297988,0.05577629276846259,6,20,1.1155258553692518,1
5.20948,55266,FABULA PLAZA SHOP CM,0.038835,15,0.66,knn_enriquecido,1.5184927888116602,0.058970667453500825,4,18,1.061472014163015,1
5.20948,55266,FABULA SHOP VITORIA CM,0.033981,15,0.66,knn_enriquecido,1.5665883579945814,0.05323423899301387,11,25,1.3308559748253468,1
5.20948,55266,FABULA CENTRO CM,0.01699,15,0.66,knn_enriquecido,1.5407029380016526,0.02617654291664808,4,18,0.47117777249966547,1
5.20951,55260,FABULA SHOP LEBLON CM,0.038109,15,0.77,fallback_categoria,1.6757020079967777,0.0638593278227492,4,18,1.1494679008094855,1
5.20951,55260,FABULA RDB CM,0.038835,15,0.77,fallback_categoria,1.4613373470269417,0.05675103587179128,4,18,1.0215186456922432,1
5.20951,55260,FABULA BARRA SHOPPING,0.047541,15,0.77,knn_enriquecido,1.2565817595527058,0.059739153430895184,4,18,1.0753047617561133,1
5.20951,55260,FABULA ELDORADO CM,0.024272,15,0.77,fallback_categoria,1.5793903919633479,0.038334963593734374,6,20,0.7666992718746874,1
5.20951,55260,FABULA RIO SUL CM,0.033981,15,0.77,fallback_categoria,1.6518770394243272,0.056132433676678056,4,18,1.010383806180205,1
5.20951,55260,FABULA BARRA SALVADOR CM,0.048544,15,0.77,fallback_categoria,1.3226336724858752,0.06420592899715431,16,30,1.9261778699146295,2
5.20951,55260,FABULA HARMONIA SP CM,0.019417,15,0.77,fallback_categoria,1.6413964500297988,0.031870994870228604,6,20,0.6374198974045721,1
5.20951,55260,FABULA PLAZA SHOP CM,0.024272,15,0.77,fallback_categoria,1.5184927888116602,0.036856856970036614,4,18,0.663423425460659,1
5.20951,55260,FABULA SHOP VITORIA CM,0.043689,15,0.77,fallback_categoria,1.5665883579945814,0.06844267877242527,11,25,1.7110669693106317,2
5.20951,55260,FABULA CENTRO CM,0.014563,15,0.77,fallback_categoria,1.5407029380016526,0.022437256886118067,4,18,0.4038706239501252,1
5.20958,55257,FABULA SHOP LEBLON CM,0.038109,15,0.85,fallback_categoria,1.6757020079967777,0.0638593278227492,4,18,1.1494679008094855,1
5.20958,55257,FABULA RDB CM,0.038835,15,0.85,fallback_categoria,1.4613373470269417,0.05675103587179128,4,18,1.0215186456922432,1
5.20958,55257,FABULA BARRA SHOPPING,0.047541,15,0.85,knn_enriquecido,1.2565817595527058,0.059739153430895184,4,18,1.0753047617561133,1
5.20958,55257,FABULA ELDORADO CM,0.024272,15,0.85,fallback_categoria,1.5793903919633479,0.038334963593734374,6,20,0.7666992718746874,1
5.20958,55257,FABULA RIO SUL CM,0.033981,15,0.85,fallback_categoria,1.6518770394243272,0.056132433676678056,4,18,1.010383806180205,1
