PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20958,55257,FABULA SHOP VITORIA CM,0.008197,10,0.55,knn_ponderado,11,25,0.204925,0
5.20958,55257,FABULA CENTRO CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20964,55259,FABULA SHOP LEBLON CM,0.081967,10,0.55,fallback_categoria,4,18,1.475406,1
5.20964,55259,FABULA RDB CM,0.065574,10,0.55,fallback_categoria,4,18,1.180332,1
5.20964,55259,FABULA BARRA SHOPPING,0.094262,10,0.55,knn_ponderado,4,18,1.696716,2
5.20964,55259,FABULA ELDORADO CM,0.027869,10,0.55,knn_ponderado,6,20,0.55738,1
5.20964,55259,FABULA RIO SUL CM,0.04918,10,0.55,fallback_categoria,4,18,0.88524,1
5.20964,55259,FABULA BARRA SALVADOR CM,0.065574,10,0.55,fallback_categoria,16,30,1.9672199999999997,2
5.20964,55259,FABULA HARMONIA SP CM,0.032787,10,0.55,fallback_categoria,6,20,0.65574,1
5.20964,55259,FABULA PLAZA SHOP CM,0.040984,10,0.55,fallback_categoria,4,18,0.737712,1
5.20964,55259,FABULA SHOP VITORIA CM,0.04918,10,0.55,fallback_categoria,11,25,1.2295,1
5.20964,55259,FABULA CENTRO CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20749,55222,FABULA SHOP LEBLON CM,0.065574,10,0.75,fallback_categoria,4,18,1.180332,1
5.20749,55222,FABULA RDB CM,0.065574,10,0.75,fallback_categoria,4,18,1.180332,1
5.20749,55222,FABULA BARRA SHOPPING,0.080328,10,0.75,knn_ponderado,4,18,1.4459039999999999,1
5.20749,55222,FABULA ELDORADO CM,0.017623,10,0.75,knn_ponderado,6,20,0.35246,0
5.20749,55222,FABULA RIO SUL CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20749,55222,FABULA BARRA SALVADOR CM,0.081967,10,0.75,fallback_categoria,16,30,2.45901,2
5.20749,55222,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20749,55222,FABULA PLAZA SHOP CM,0.040984,10,0.75,fallback_categoria,4,18,0.737712,1
5.20749,55222,FABULA SHOP VITORIA CM,0.07377,10,0.75,fallback_categoria,11,25,1.8442500000000002,2
5.20749,55222,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20917,55259,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20917,55259,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20917,55259,FABULA BARRA SHOPPING,0.141803,10,0.75,knn_ponderado,4,18,2.552454,3
5.20917,55259,FABULA ELDORADO CM,0.044262,10,0.75,knn_ponderado,6,20,0.88524,1
5.20917,55259,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20917,55259,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20917,55259,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20917,55259,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20917,55259,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20917,55259,FABULA CENTRO CM,0.032787,10,0.75,fallback_categoria,4,18,0.590166,1
5.20918,55259,FABULA SHOP LEBLON CM,0.02459,10,0.55,knn_ponderado,4,18,0.44262,0
5.20918,55259,FABULA RDB CM,0.016393,10,0.55,knn_ponderado,4,18,0.295074,0
5.20918,55259,FABULA BARRA SHOPPING,0.079508,10,0.55,knn_ponderado,4,18,1.431144,1
5.20918,55259,FABULA ELDORADO CM,0.029508,10,0.55,knn_ponderado,6,20,0.59016,1
5.20918,55259,FABULA RIO SUL CM,0.016393,10,0.55,knn_ponderado,4,18,0.295074,0
5.20918,55259,FABULA BARRA SALVADOR CM,0.032787,10,0.55,fallback_categoria,16,30,0.9836099999999999,1
5.20918,55259,FABULA HARMONIA SP CM,0.028689,10,0.55,knn_ponderado,6,20,0.57378,1
5.20918,55259,FABULA PLAZA SHOP CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20918,55259,FABULA SHOP VITORIA CM,0.02459,10,0.55,knn_ponderado,11,25,0.61475,1
5.20918,55259,FABULA CENTRO CM,0.032787,10,0.55,knn_ponderado,4,18,0.590166,1
5.20919,55257,FABULA SHOP LEBLON CM,0.02459,10,0.55,knn_ponderado,4,18,0.44262,0
5.20919,55257,FABULA RDB CM,0.016393,10,0.55,knn_ponderado,4,18,0.295074,0
5.20919,55257,FABULA BARRA SHOPPING,0.079508,10,0.55,knn_ponderado,4,18,1.431144,1
5.20919,55257,FABULA ELDORADO CM,0.029508,10,0.55,knn_ponderado,6,20,0.59016,1
5.20919,55257,FABULA RIO SUL CM,0.016393,10,0.55,knn_ponderado,4,18,0.295074,0
5.20919,55257,FABULA BARRA SALVADOR CM,0.032787,10,0.55,fallback_categoria,16,30,0.9836099999999999,1
5.20919,55257,FABULA HARMONIA SP CM,0.028689,10,0.55,knn_ponderado,6,20,0.57378,1
5.20919,55257,FABULA PLAZA SHOP CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20919,55257,FABULA SHOP VITORIA CM,0.02459,10,0.55,knn_ponderado,11,25,0.61475,1
