PRODUTO,DESC_PRODUTO,COLECAO,ANM_TIPO_PRODUTO,GRUPO_PRODUTO,SUBGRUPO_PRODUTO,LINHA,MODELAGEM
5.20616,CASACO TAPETE DE FLOR OFF,INV26,,5CASACO,ABERTO COM CAPUZ,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21047,CAMISETA SILK ILHA,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20968,SHORT NINO ALBUM SELVAGEM,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20947,SUNGA PREDADOR MINI,INV26,,5SUNGA,SHORTINHO,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20906,CAMISETA MALHA ALBUM SELVAGEM,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21191,SHORT LISTRA ZEBRADA,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21048,CAMISETA SILK MEU RIO,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20563,MACACAO BEBE JARDIM DE INVERNO,INV26,,5MACACÃO,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21026,BLUSA SILK DOGUINHO,INV26,,5BLUSA,SEM MG,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20583,VESTIDO BEBE MALHA FLORIA,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20609,CALCA BEBE MOLETOM FILHOTES,INV26,,5CALÇA,MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21052,CAMISETA SILK DOGUINHO RADICAL,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20643,CALCA MOLETOM ONCITA PRETO,INV26,,5CALÇA,MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20655,VESTIDO FESTEJO BORDADO TUCANO,INV26,,5VESTIDOS,MIDI MC,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20965,BERMUDA MOLETOM PREDADOR,INV26,,5SHORT,BERMUDA MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20555,VESTIDO BEBE TAPETE DE FLOR MINI,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20887,TOP JARDIM DE INVERNO,INV26,,5BLUSA,TOP,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21021,CAMISETA SILK RIO,INV26,,5BLUSA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20907,CAMISETA MALHA AMIGOS DA FLORESTA,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20556,VESTIDO BEBE HOLOGRAFICO ZOO,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20702,VESTIDO NOITE DA FLORESTA,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
